बारमा तेस्रो पटक भेट भएपछि उसले मलाई आफ्नो घर बिशालनगरमा निम्त्यायो।	After our third meeting in the bar, he invited me to his home in Vishainagar.
मलाई सोध्न मत लाग्यो 'बरी ! तिमी कोसँग विवाह गर्छर्चौ, तिमीले कसलाई रुचएकी छौ ?'	I wanted to ask, 'Bar! Who are you going to marry, who do you like?'
तर जहाँसम्म मलाई विश्वास छ भविष्यपष्टि क त्यति निर्दिष्ट छैन, क पनि आफूभित्र एउटा ढुङ्गा नै छ।	But as far as I believe, the future isn't that definite, and within myself, there is still a stone.
शिव आइपुग्यो ।	Shiva arrived.
हामी फेरि बैठकमा गएर गफ गर्न थाल्यौं ।	We went back to the meeting room and started chatting again.
मलाई विश्वास लाग्न थालिसकेको थियो, शायद शिवले मलाई एउटा रक्सी खाने साथी मात्र बनाएको थियो ।	I began to believe that perhaps Shiva had only made me a drinking companion.
मसँग आत्मीय हुनुको उसको अर्को कुनै स्वार्थ थिएन, तर घरमा स्वतन्त्र रूपले हेलमेल हुन दिएकोमा लाग्थ्यो कहीं मुजुराको जिम्मा लाइदिने सुर त होइन यसको ?	He had no other motive to be close to me, but it seemed like he had left me free at home as if to pass on Mujura's responsibility?
हुन सक्छ र नहुन पनि सक्छ ।	It might be or might not be.
कुरैकुरामा त्यो दित शिवले बरीलाई अब यो वर्षभरि घरमा राखेर कलेज पढाउने, तेज क यसै छ, वी. ए. पास गरिसकेपछि बिहे गरिदिने भन्ने कुरा गच्यो ।	Among the discussions, Shiva said that he would keep Bar at home for a year to study, and after passing the B.A., he would arrange for her marriage.
एकटा धेरै भलादमी शिक्षित मान्छेको खोजीमा क छ ।	He was looking for a very good, educated man.
यो थाहा पाएपछि म आफू बसेको कुर्सीजस्तै जड भएर बसिरहँ ।	After knowing this, I remained seated like the chair I was on.
हीनताको अनुभवले म राम्ररी कुरा पनि पार्न नसक्ने भइसकेको थिएँ ।	I had become so accustomed to inferiority that I couldn’t handle things well.
'फूलबारीमा पर्खंदै गर्छु' भन्ने बहानाले म बाहिर निस्कै ।	I made an excuse of waiting in the flower garden and went outside.
ढोका अलिकयता शिरीषको रूखको ओझेल परेर बरी बसिरहेकी थिइ ।	Bar was sitting near the door, partially in the shadow of the sirish tree.
धमिलो साँझको एक लिप्टो छायामा कालो सारीलगाएकी क एउटी भावनाजस्तै आफूमा टोह्लाएर बसिरहेकी थिई ।	In the dim evening’s subtle shadow, she looked like a black sari-wearing emotion, sitting and pondering.
यदि यो स्थितिमा म पत्नि उसको घेरै नजीक बसेर रौंहरूलाई सुम्मुम्याउँदै भनिरहेको हुँदो हुँ, 'तिख्रो निम्ति विवश भएर बाँचेको यो जीबन, डेथ भ्यालीमा घस्रेको भन्दा चर्को भइरहेछ बरी ! तिमी जीवनदान दिनुमा कति विश्वास राख्छयौँ ?'	In this situation, if I were sitting very close to her and whispering to the rats, 'This life lived in bitterness is worse than crawling in Death Valley, Bar! How much do you believe in giving life?’
यस्तो के-के ।	things like that.
मलाई क बसेको धमिलो छायामा कसँगै एक मन, शरीर भएर विलाइजान मन लाग्यो, हराइजान मन लाग्यो ।	I felt like I wanted to dissolve my mind and body in the dim shadow.
सम्झे 'यो अवश्य मृगतष्णा होइन, यौ त ठोस सत्य हो, लम्के भने पाउन सक्छु, पुग्न सक्छु'	I thought, 'This is definitely not a mirage, it is a solid truth, if I reach for it, I can attain it.'
तर यो क्षणिक भ्रममा म पर्न सकिनँ ।	But I couldn't fall into this fleeting illusion.
म त आफैँलाई गिज्याइरहेको थिएँ, व्यङ्ग्य गरिरहेको थिएँ ।	I was taunting myself and being ironic.
म समावेश हुन चाहन्छु उसको शरीरमा, आत्मामा; तर मेरो बाटो छैन ।	I wanted to merge with her body and soul; but there was no way for me.
जहाँसम्म म पनि असफल हुन चाहन्नँ, म आफूलाई त्यति हतभागी सिद्ध गराउन चाहन्नँ ।	I also didn’t want to fail, nor did I want to prove myself so unfortunate.
प्रेम जीवनको त्यति ठूलो दुःख होइन, मानिसलाई सुखी बन्ने साधतहरू धैरै छन्‌ तर खोइ !	Love is not such a great sorrow of life; there are many means for a person to be happy, but where are they!
यसको पछि म धेरै तर्क गर्न सक्तिनँ ।	I can't argue much further about this.
म त एउटा निकृष्ट मानिस हुँ, मैले जसजसलाई बलात्कार गरे उनीहरूलाई प्रेम गर्न सकिनँ र जसलाई प्रेम गर्छुँ,उसलाई बलात्कार गर्न सक्तिनँ ।	 I am a despicable person; I couldn't love those I have violated and couldn’t violate those I love.
असम्भव छ, कल्पना मात्र पनि गर्न सक्तिनँ ।	It is impossible; I can’t even imagine it.
मैले विश्वास गरेँ प्रेम केवल दुःख हो, निरर्घकता हो, नत्र	 I believed that love is only sorrow and inescapable; otherwise,
डेडहन्टरकी छोरी, भैसीगोठाल्ती तथा माटिनचीमाथि मरणान्त अपराध	गरेर पनि आफूलाई दुःखी अनुभव गरिनँ र सकमबरीलाई आज त हेरेरै, माया गरेरै म अति दुःखी भइरहेको छु । I wouldn’t have felt so miserable even after committing mortal sins on the daughter of a dead hunter, a buffalo herder, or a potter; but today, just seeing Sakambari, loving her, I am deeply unhappy.
मैले कै अपराध गरेको छु तिमी-सँग ?	Have I committed any sins with you?
प्रेम दुःख हो, मलाई चिच्याउन मन लाग्यो ।	Love is sorrow; I felt like screaming.
मनमनमा स्वीकार गरेँ साँच्चै सकमबरी एउटा इन्सेग्ट किलर सुनगाभाभन्दा बढी केही होइन यर्द्याप उसले रोपेका फूलहरू जीवनले परिपूर्ण भई हावामा फरफराइरहेका छन्‌ ।	I accepted within myself that indeed Sakambari is nothing more than an insect killer; yet the flowers she planted are blooming in the air, full of life.
त्यसैले त क भन्छे 'यहाँ कीरा मरेको हेन कस्तो रमाइलो हुन्छ ।'	That’s why it is said, ‘How delightful it is when an insect dies here.’
तर जीवनका अभिलाषाहरू यति सहजसँग तह लाग्दैनन्‌ ।	But the desires of life do not easily resolve.
म सन्तोष मान्न तयार छैनँ, कदापि छैनँ ।	I am not ready to accept satisfaction, not at all.
साँझको छाया अझ गाढा भएर गयो र त्यही छेबैवाट भएर म र शिव बाहिर आयौं ।	The evening’s shadow grew darker, and from the same shadow, Shiva and I came out.
कस्तो लोभ लागेको मलाई त्यो एक चोक्टा अन्धकारको ।	How tempting that one patch of darkness was to me.
बरीसँग भैट भएपछि दोस्रोपल्ट शिरीषका रूखहरूले आफूलाई नीला बनाई फुलाइसकेका थिए ।	After meeting with Bar, the sirish trees had once again turned blue and were in full bloom.
चौरमा नीला फूलहरू झरेर सेतासेता खुदट्वाहरूको स्वागत गर्न थालिसकेका थिए ।	Blue flowers had fallen in the courtyard, starting to welcome the white dust.
यति चाँडै एक वर्ष वितिसकेछ ।	A year had passed so quickly.
कस्तरी यी रूखहरूले आफूलाई फुलाउन सके र हामी सक्तैनौं, कत्रो विवशता हामीमा छ ।	How these trees managed to bloom while we couldn’t, what great helplessness we have.
क्याम्पाको अलिक पर हुँदा नै मलाई यो फूलहरूमाथि ईर्ष्या हुन थाल्यो ।	As soon as I was a bit away from the camp, I began to envy these flowers.
सम्झेँ 'संसारमा कतै पनि नीला फूल नफुले हुन्छ । सपनामा पनि तर्साउन आउने यी फूलहरूको के काम ! फूल होइनन्‌ सव आगाका फिलुङ्गा हन्‌ ।'	I thought, 'Blue flowers should not bloom anywhere in the world. What use are these flowers that come in dreams to terrify us! They are not flowers but fiery flames.'
साँझ झमक्क परिसकेको थियो, यो शिवराज घरमा अबश्यै थिएन तर एउटा बहाना बनाएर म उसैलाई खोज्न गइरहेको थिएँ ।	The evening had turned dark; Shivraj was definitely not at home, but I was going to find him using any excuse.
बहाता गर्दा-गर्दा कति दिन्तहरू बितिसके, एउटा अर्को बहाना बनाउन मलाई कै डर, के लाज ?	As days passed while making excuses, I had fears and shyness about making another excuse.
मलाई लोभ लाग्थ्यो, कहिलेकाहीँ पसरी बहाना बनाउन गएको बेला शिवराज नभए बरी आएर, अँध्यारो-उज्यालो जस्तो स्थितिमा होस्‌ मसँग करा गरिरहन्थी ।	I felt greedy; sometimes, when I went to make excuses, if Shivraj was not there, Bar would come and keep arguing with me in an almost dark-light situation.
नीला पहाडहरूको नीलो छाया, नीला फूलहरूको सडकमा तीलिएको रङ्ग, मनपर्दो बतास तर सम्झँंदा-सम्झँदै विरक्त लाग्थ्यो ।	The blue shadows of the blue hills, the colors of blue flowers scattered on the road, the pleasant breeze, but remembering all this made me weary.
त म चोर कुकरभझैं गइरहेछ्‌ ।	So, I was moving like a thief in the dark.
पर्खालका मूलढौकाबाट भित्र पस्नासाथ अस्तिको साँझ देखेकै ठाउँमा त्यसरी नै उभिरहेकी वरीलाई मैले देखेँ,	I saw Bar standing in the same place where I had seen the evening sky as soon as I entered through the wall's gate.
सम्झौं 'के खोज्न आउँंदीरहिछ यसबेला आजभोलि, उही पति त्यही निर्दिष्ट ठाउँमा क ।'	I thought, 'What is he looking for these days, in the same place as before?'
घरपट्टि फर्केर उभिएकी थिई, तसर्थ मलाई देखिन ।	She was standing facing the house, so she did not see me.
एउटा लोभलाग्दो साँझको अँध्यारोको एक टुक्रा आफ्नो केवल आफ्नै मात्र वनाएर आफ्नो सेतो सान्‌ गर्धनमाथि मुडुलो सुनौलो टाउको अड्काएर उभिएको उसको अस्तित्व फेरि पनि मलाई तस्बीरजस्तो लाग्यो ।	Her existence seemed like a picture to me again, with a piece of the dark evening creating a beautiful patch, and her white slender neck holding a golden head in its place.
यस्तो तस्वीर जसलाई म जीवनपर्यन्त आँखामा उघार्न चाहन्थेँ, जुन तस्वीरलाई हेरेर म चित्त बुझाउन सक्तिनँ ।	A picture that I wanted to keep in my eyes for a lifetime, a picture that did not satisfy me even after looking at it.
घृवांको आखिरिलो धर्सा हावामा अत्तासिँदै विलीन हँदै थियो ।	The last sight of hatred was vanishing in the air, slowly dissolving.
'उसले नदेख्ने गरी खुरुखुरु घरभित्र जान्छु र क कराई भने ए देखिनँ भन्छु' भनी विचार गर्दै एक किसिमको ठट्टा गर्ने भावनामा म डसको पछिसम्म गएँ तरवास्तविकतालाई कहाँ ठग्न सक्ने ?	Thinking, 'I will go inside the house quietly, so that if she asks, I can say I did not see,' I went up to the door with a kind of playful emotion, but where could I deceive reality?
रूखको ओझेलमा सुनौलो टाउको र सेतो गर्धनलाई हेर्न पाइरहेछु, उही पनि पछाडिबाट ।	I could see the golden head and white neck in the shadow of the tree, even from behind.
'यो टाउको त अप्राप्ति हो, यो गर्धन त मृगतृष्णा हो, आज त मनग् हेर्छु, हेरि नै रहन्छु ।'	I thought, 'This head is unattainable, this neck is an illusion; today I will look at it, and keep looking.'
यही त हो नि बरीलाई पाएँ भन्नुको गर्व, बरीलाई हराएको मेरो विजय, मेरो सीमा, मैले मान्तपर्ने मेरो सन्तुष्टि ।	This is the pride of finding Bar, my victory over losing Bar, my limit, and my satisfaction in accepting it.
माया लाग्दा-लाग्दै उसलाई यसरी तिर्खाएर हेर्नु त हो नि मेरो जीवन ।	To see her thirstily like this is my life.
आह ! कति ठगिएको छु, कस्तरी बञ्चित राखिएको छु !	Oh! How deceived and deprived I am!
हेर्दाहरदै म आत्मविभोर हुन थालेँ ।	I began to become emotionally overwhelmed while watching.
मेरा नसाहरूमा रमाइलो झमझम सञ्चार हुन थाल्यो ।	Pleasant communication started to flow through my veins.
मैले आफ्नो स्थितिलाई बिर्सन थालेँ ।	I began to forget my own situation.
कस्तौ-कस्तो एउटा उत्तेजनाले मलाई कस्दै ल्यायो ।	A certain kind of excitement brought me to this state.
अनायास मैले भएभरको प्रेम पोखेर वोलाउन पुगेख्नु “बरी !”	Unintentionally, I called out with all my love, "Bar!"
उसले तर्सेर हेरी र अनुहार उज्यालो पार्दै कराई “आम्मै ! सुयोगजी, तपाईं !”	She looked startled and brightened her face, exclaiming, "Oh my! Sujoyji, you!"
“यहाँ आक त ।"” आज्ञाकारी बच्चीजस्तै क मेरो धेरै नजीक आई सघैँजस्तै र भनी “किन ?”	"Here you are." She came very close to me like an obedient child and asked, "Why?"
म आफ्नो नियन्त्रणमा थिइनँ, स्थिति छुट्टयाउन सम्नै सामर्थ्य ममा थिएन, म सर्वाङ्ग कामिरहेको थिएँ ।	I was not in control of myself, had no power to separate the situation, and was working with all my might.
आवेशमा आएर मैले उसको सेतो गर्धन औँठघाएर उसको कमलो ओठमा म्बाइँ खाइदिएँ र आत्मतृप्तिको अनुभव गर्नै नपाई मलाई मोहले छोड्यो ।	In my excitement, I held her white neck, kissed her soft lips, and before I could experience self-satisfaction, passion left me.
डरलाग्दो सपनाबाट बिउँझेजस्तै म पसीनाले तिध्वुक्क भिजेको थिएँ, मुटु कामिरहेको थियो ।	I was drenched in sweat as if waking from a terrifying dream, my heart was pounding.
के गर्ने, स्थितिलाई साट्न सकिदैन, त्यो धृष्टतालाई अब फिर्ता लिन सकिँदैन ।	What to do, the situation could not be changed, and that audacity could not be taken back.
मलाई चक्कर लाग्न थाल्यो, शिरीषको रूखलगायत सकमवबरीलाई साता-साना देख्न वाले ।	I began to feel dizzy, seeing the sirish tree and the nearby Bar.
एकपल्ट भएभरको बलले आफूलाई नियन्त्रित पार्दै मैले वरीलाई हेरेँ, क पनि टोह्लाएकी थिई ।	Controlling myself with all my strength, I looked at Bar, who was also observing me.
म तर्सिएको थिएँ एउटा कुकुरजस्तै, एउटा बोकाजस्तै ।	I was terrified like a dog or a goat.
आउने जस्तोसुकै अपमान तथा प्रतिक्रिया सहनलाई, अरू मेरो उपाय नै के थियो र ।	To endure any possible insult and reaction, what other option did I have?
वास्तविकतासँग स्पष्ट एकपल्ट खेल्नलाई म तयार बसिसकेको थिएँ ।	I was ready to confront reality clearly once.
उसको आँखाको भाव पढ्ने सामर्थ्य ममा आइसकेको थियो ।	I had developed the ability to read the expressions in her eyes.
चश्माभित्रबाट गहिरिएर मलाई हेरिसकेपछि बरी लमकलमक गई, ढोकामा ओझल भई ।	After looking deeply at me through her glasses, Bar quickly left and disappeared at the door.
त्यो आँखाको हेराइ नौलो हो, एकदम नौलो ।	The look in her eyes was new, very new.
मैले कति स्थितिमा उसलाई देखिसकेको छु तर यी आँखाहरूमा होइन ।	I had seen her in many situations but not with these eyes.
के गरेर हेरेकी हो बरीले मलाई ?	Why did Bar look at me this way?
किन त्यो अभिव्यक्ति सोझो मुटुमा गएर बिभ्छ ?	Why did that expression go straight to my heart and divide it?
कित उसले विरोध नगरेकी ?	Did she not oppose?
किन झम्टेर नआएकी ?	Why did she not come angrily?
किन नचिच्च्याएकी ?	Why did she not scream?
किन हल्ला नगरेकी ?	Why did she not make a fuss?
म अन्तर्ढनद्वमा बौलाहा हुन खोजें ।	I began to be agitated internally.
ममाथिको आकाश नै सम्पूर्ण हल्लेको जस्तो मलाई लाग्यो ।	The sky above me felt like it was in complete upheaval.
म प्रश्नमाथि प्रश्न गरेर उल्टो खुट्टा फर्के ।	I turned back with questions after questions.
कस्तो अनौठो !	How strange!
क सरासर घरभित्र पसी ।	I directly entered the house.
के गर्ने आँटेकी हो उसले ?	What should I do, has she rejected me?
म सम्झँदै हिंडिरहैँ उसको आँखाको भाव ।	I kept walking, remembering her eye expression.
त्यौ समर्थन बातपतिशत होइन, विरोध पनि होइन, क्रोध पनि होइन, लाज पनि होइन, यही हुन सक्छ शायद उसले भन्त खोजेकी थिई “सुयोगजी ! मैले तपाईंंबाट यो आशा गरेकी थिइनँ ।'	That support is not supportive, nor is it opposition, nor anger, nor shame; perhaps she was searching for "Sujoyji! I did not expect this from you."
अवश्य क जिल्लिएकी हो ।	She must be disappointed.
के मैले उसोभए उसको जीवनभरि साँचिराखेको आस्थामाथि आक्रमण गरेँ त ?	Did I attack the faith she had kept throughout her life?
के मैले एउटी चोखी र अभिमानी स्वास्तीमान्छेलाई आफ्नो स्पिरिटले डढेको नीलोतुथोजस्तो ओठले विदुल्याइदिएँ ?	Did I burn a pure and proud person with my spirit like a blue flame?
के मैले फेरि अपराध गरेँ, पाप गरे ?	Did I commit another crime, another sin?
त्यो स्थिति पनि कुनै निष्कर्षमा पुग्नै नसक्नै स्थिति थियो ।	The situation could not even reach any conclusion.
आफैँलाई सान्त्वना दिएँ, जो हुनु भइगयो अब पश्चात्ताप गर्नुको के अर्थ ?	I consoled myself, what is the point of repentance now, what has happened has happened.
यत्ति न हो म उनीहरूका आँखाबाट धेरै तल खस्छु, शिवको दृष्टिमा एउटा विश्वासघाती र हीन मानिस सिद्ध हुनेछु ।	This is where I fall far below in their eyes; in Shiv's view, I will be a betrayer and a lowly person.
सकमवरी थुक्छे मलाई ।	Sakmavari spits on me.
मेरो पो सत्य प्रेमको आवेग, पहिलो प्रेमको आवेग ।	My true love's impulse, the impulse of first love.
बरीको त मर्यादाको प्रश्न छ, आत्मसम्मातको प्रश्त छ ।	Bar’s issue is of dignity, a question of self-respect.
अव जे आइलागै पति सहनुपरेको छ ।	Now whatever comes, one must endure.
बरीले भन्छे आफ्नो दाइलाई र शिव अनि के-के हुन्छ कुन्नि ?, एक मनले सम्झे यति विधि आफैलाई खसाएर हेर्ने हो र ?	Bar tells her brother and Shiv, and who knows what happens; one thought, does this method really drop me down to see?
हुनसक्छ बरी कसैलाई केही नभन्दी हो र एकान्त पारेर मलाई छोडी 'सुयोगजी ! अस्ति तपाईंले मलाई कै गर्नुभएको, किन !'	Perhaps Bar left me alone without saying anything to anyone, "Sujoyji! Why did you do this to me?"
त्यस्ती फर्साइली पहिलो परिचयमा नै उखरमाउलो हुन आएकी, के ठेकान सहजसँग यो घटनालाई जीवनमय तुल्याउँदी हो ।	She was so straightforward and straightforwardly awkward from the first introduction; does she make this incident easily a part of her life?
त्यसपछि आफ्नो मन उदाङ्गो पारेर म ककन" कि साँच्चै म तिमीलाई प्रेम गर्छु ।	After that, opening my heart, I confessed, "I truly love you."
तिमीपति मेरो कुविचार छैन ।	My thoughts about you are not in doubt.
कति महिनादेखि पिल्सिएरए म तिमीलाई यही कुरा त भन्न खोजिरहेको थिएँ, यति त थाहा पायौ तिमीले कि कस्तो विवश अवस्थामा मैले तिमीलाई चाहेर आइरहेको छु, कति निर्धो वनेर म तिमीकहाँ आश्रय खोज्दै आइरहेको छु ।	I had been trying to say this to you for months; now you know how desperately I have been coming to you, seeking refuge.
तिम्रो जीत हो, मेरो हार ।	Your victory is my defeat.
आँधी आउन लागेको कालो बादलको बीचमा एक धर्सो उज्यालो झिलिक्क देखेजस्तो एउटा क्षीण आशाको रूपमा एक कुरा बिचार ।	A thought like a faint hope in the midst of a black cloud of a coming storm.
मन कताकता हलुक्गो भयो ।	My mind became somewhat lighter.
रात परिसकेको थियो ।	The night had arrived.
म निरुद्देश्य भौँतारिँदै लम्पसार तन्केर गएको सडकमाथि हिंडेर छट्कारा खोजिरहेको थिएँ ।	I was wandering aimlessly, looking for relief while walking on the road, which was tense and hard.
लाग्यो 'यौ सडक कहिल्यै वसिद्धियोस्‌, यो स्थिति कहिल्यै नबदलियोस्‌, यसैमा ब्यय ल्‌ वास्तविकता र जीवन ।'	It felt like, 'May this road never end, may this situation never change, this is where reality and life lie.'
विजुलीका लट्टाहरू एक-एक गर्दै ओझेल दद थिए ।	The electric lamps were fading one by one.
अँघ्यारो-उज्यालो, उज्यालो-अँघ्यारोको जुलुसजस्तै मलाई व्यङ्ग्य गर्दै अघि बढिरहेको थियो ।	Darkness-light, light-dark, was moving forward, mocking me like a procession.
सम्झे 'आज जीवनमा सबभन्दा बढी'	I thought, 'Today, more than ever in life'
एउटा अभ्यस्तता जीवनको गति हो ।' म गहिरिदै बु	An expertise is the rhythm of life.' I was deeply pondering.
कालाकाला टाउकाहरूको माझमा । म पीपलको बोटनिर गै	Amidst the black heads, I went to a peepal tree.
थिएँ । एउटा चुरुट सल्काएपछि धूवाँ उडाउँदै, प्रत्येक आउने-	There, after lighting a cigar, blowing smoke, and observing everyone coming and going,
जानेहरूलाई केलाउँदै आफैँसित छुट्कारा पाउन थालेँ ।	I began to get some relief, analyzing each passerby.
एवं मस्तिष्क हलुङ्गो हुन लागिसकेको थियो ।	My mind was starting to feel lighter.
एउटा रिक्सावालले अश्लील शब्दहरू दोहोरो गरेर छेवैको केटाको बूट पालिस गर्दै थियो, मैले उनलाई हेरें, र उसको मुखमा अपार सन्तोष थियो।	A rickshaw puller was muttering obscene words while polishing the shoes of a nearby boy. I saw him, and he had immense satisfaction on his face.
उसको अनुहारमा अगाध सन्तुष्टि थियो, सम्झेँ 'व्यक्त गरिरहेको छ आफूलाई । त्यसैमा सन्तुष्ट छ, चाहे त्यो गाली नै किन नहोस्‌ ।'	I thought, 'He is expressing himself. He is satisfied with that, even if it is abuse.'
एउटी टुरिष्ट ठिटी आफ्नो सुनौलो मुडुलो टाउको एक किसिमले हल्लाउँदै आउँदै थिई, पछिपछि चुरुटको मुस्लो धूवाँ त्िकाल्दै ।	A tourist girl with a golden bob was coming, shaking her head in a certain way, with a cloud of cigar smoke following her.
उसलाई पछघाइरहेको एउटा भुरा मगन्ते ।	A young loafer was following her.
सुनौला टाउको र घूवाँले एकसाथ मलाई छुटकाराको संसारदेखि यथार्थमा पछाज्यौ ।	The golden head and the smoke together dragged me from the world of relief back to reality.
मैले उनीहरूलाई धेरै परसम्म हेरिरहेँ ।	I kept watching them from a distance.
बत्तीको प्याजी लाइटमा नयाँसडकको रात विस्तारै लठारिँदै थियो ।	The new road's night was gradually unfolding under the yellowish streetlight.
रात हो, तर मेरो हेराइले समातेको वातावरणभरि अँध्यारो कतै थिएन ।	It was night, but in the environment my gaze captured, there was no darkness anywhere.
अँध्यारौको कुनै अर्थ छैन ।	Darkness has no meaning.
दिउँसो हामी अँघ्यारोको सृजना गर्न सक्तछौं, रातभरि हामी डुलेर, पिएर हिंड्त सक्छौं, यस्तो भइसकेको थियो काठमाण्डू ।	During the day, we can create darkness, and throughout the night, we can wander and drink; this was Kathmandu.
यहाँ रातविरात सडकहरूमा मानिसको टाउको हराउँदैन ।	Here, people's heads do not disappear from the streets at night.
म धेरैबेर लगातार चुरुट तानेर त्यहीँ उमिरहेँ ।	I kept smoking cigars for a long time.
मानिसको भीड छाँटिन धालिसकेपछि भूगोलपार्कमा केहीबेर बसेँ ।	After thinning out the crowd, I sat for a while at Bhugol Park.
वरिपरिका बार र रेष्टुराँहरूले निम्त्याइ-रहेका थ्रिए ।	The surrounding bars and restaurants were enticing.
तर त्यहाँबाट पनि आज मलाई भाग्नुपरेको थियो ।	But even from there, I had to escape today.
केही समय विताएछि घडी हेरें र सम्झें 'शिबराज यसबैला हतारिँदै घर जान्छ शायद गइसक्यो होला, हुनसक्छ आज आएर पनि !'	After some time, I looked at the clock and thought, 'Shivraj must have already hurried home by now; maybe he will come today!'
म ढिलो-ढिलो हिंडेर बारमा चियाउन पुगें ।	I walked slowly and reached the bar for tea.
वियर र हिवस्कीको - सम्मिलित भएर आएका बोतल र गिलासको आवाज, रक्स्याहा भाषा, रक्स्याहा उच्चारण, टेम्पोमा पुगिसकेकाहरू कोही बसेरै कोही अल्छी नमानी उठेर देखाइरहेका शैक डान्सका आफ्ना पाराका मुद्वाहरू बारभित्र व्यवस्थित युगको व्यबस्थासँग कतै नखुम्चेर र नविग्रेर बसेका थिए ।	The sound of bottles and glasses mixed with beer and whiskey, the drunken language, the slurred accents, and the various shades of dance styles of those who had reached the bar were arranged in the bar, not disturbing or confusing the orderly era.
सम्झेँ यहाँ पनि यिनीहरू आफैँलाई व्यक्त गरिरहेका छन्‌ शेक डान्सका जथाभावी मुद्वाहरूमा, तर मेरो दिन म कसरी पनि व्यक्त हुन सक्तिनँ, केही पनि बहाना गर्न- सक्तिनँ ।	I thought, here too, they were expressing themselves through random shades of dance, but I could not express myself at all that day; I couldn't make any excuses.
कुनामा भवाट्ट देखेँ शिवराज अहिलेसम्म नगई झन्‌ ताउमा आएर बसिरहेको थियो ।	I saw Shivraj sitting in the corner, still waiting, having not left.
शिवराजले अवश्य मलाई पर्खेको हो नत्र यस वेलासम्म क भागिसक्थ्यो र शिवराज आज ताउमा आइरहेको छ र हुनसक्छ यो मेरै निम्ति हो ।	Shivraj must have been waiting for me, otherwise, he would have left by now; and Shivraj is coming here today, perhaps it is for me.
जेहोस्‌ स्थितिलाई साट्त सकिदैन ।	Anyway, the situation cannot be changed.
मलाई देख्नासाध शिवराजले जोशिएर भन्यो “आउनुहोस्‌ सुयोगजी ! तपाईंकै प्रतीक्षा थियो ।”	Shivraj, excited to see me, said, “Come in, Sujoyji! We were waiting for you.”
म झसङ्ग भएँ ।	I was taken aback.
शिवराजले झन्‌ जोशिएर भन्यो, “आज ढिला गए पन्ति हुन्छ, बरीलाई सन्चो छैन । यस्तो बेला क कोठाबाट वाहिर निस्कन्त ।”	Shivraj, even more enthusiastic, said, “It’s okay if you’re late today, Bar is not well. At such times, nobody should leave the room.”
'बरीलाई सन्चो छैन' “यसले मलाई ठीक त्यही स्थितिमा कत्ति पति छैन तर अहिले छुट्काराको हलुङ्गो अनुभूति आफैँभित्र पाएँ, यसै कारण कि बरीले प्रतिक्रिया लिइन, शिवराजलाई थाहा छैन यी सब ।’	"Bari is not well" This did not change my situation, but now I felt a sense of relief inside, simply because Bar did not react; Shivraj did not know any of this.
पौडी खेलेर निस्कँदाको जस्तो आफैँ छ्याङ्ड भएँ ।	I felt like I was swimming out of the situation.
म कसैलाई चर्को प्रेम गर्छु, उसको मत भएको उसको सिङ्गो शरीर जसमा सम्पूर्ण उसलाई पाउनको निम्ति मैले जीवनलाई चाहिनेभन्दा बढी अभिल्याइसकेको छु र छचाङ्ङ हुनु र छुट्कारा पाउनु मेरो उद्देश्य होइन, लक्ष्य होइन, उपलब्धि होइन ।	I love someone intensely, with all my being, and to gain all of her, I have devoted more to life than necessary; being relieved and escaping is not my purpose, goal, or achievement.
यी सब अचेतना टाँसिएर बसेको भए तापनि त्यो आवश्यक स्थितिमा मैले सबै विससैको हुँ, जे होस्‌ त्यो एउटा मीठो छुट्कारा थियो वरी र मैरौ बीचमा केही भइसकेको छ र म संसारदेखि भाग्न खोजेको कदापि होइनँ यसो भन्न सक्तिनँ पनि, यसले होइन कि भागेर जाने ठाउँ छैन तर मलाई एउटा प्रतिक्रियाको लोभ थियो ।	Although all of this was a state of unconsciousness, in that necessary situation, I was completely aware; anyway, it was a sweet relief that something had happened between Bar and me, and I cannot say that I wanted to escape from the world; it's not that there was no place to run away, but I craved a reaction.
शिवलाई आज स्वाभाविक पाउँदा मैले सोचेको हीनप्रतिक्रियाको निकै दुलो कचोइटा खस्केर गयो, मैले राम्रै सपना देख्न थालें ।	Finding Shiv natural today, I thought the low reaction I expected had drastically deteriorated, and I began to dream well.
वरीलाई सन्चो छैन यो कुनै विशेष कुरा भएन ।	Bari's ill health was not a special event.
सम्झे शिवराज पनि यो व्यवस्थालाई साह्रै विधि मेल खाने मान्छे हो, केही नहुनुमा यो मानिस त्यसै त्यसै भाग्छ, अर्थहीत भाग्छ, वास्तविकतालाई पैले पन्छाउँछ, आफूलाई बिर्साएर बाँच्छ ।	I thought Shivraj is a person who fits this arrangement very well; if nothing happens, he leaves, meaninglessly leaves, avoids reality, and lives by forgetting himself.
वरीलाई सन्चो नहुनु उसको पति आफ्नो पारा दार कारा रहेछ, के क बरीदेखि पानि भाग्छ ?	Bari's ill health is just a part of its situation; what does it mean that Bar is not well?
यवार्चमा भाग्न क , बस्तुतः पटाक्षेपमा गजधम्म बसेको जीवन नाउँले परिचित एउटा अपरिमित दुःखको, जसको एउटा जबरजस्त अस्तित्व छ, आफ्ना बाँचिरहेका क्षणहरूलाई उसले त्यसको छुट्कारास्वरूप मानेको छ ।	But escaping from it, essentially staying in the ending life, is familiar with a boundless sorrow, whose massive existence is considered as relief for its living moments.
